timestamp,pkg_value,ram_value,bmc_value
1756961187.0032978,35.09,11.69,139
1756961188.0033813,60.13,14.03,212
1756961189.0034614,60.2,14.05,212
1756961190.003541,60.16,14.04,213
1756961191.0036194,60.16,14.05,213
1756961192.0036993,60.2,14.05,213
1756961193.0037768,60.15,14.04,213
1756961194.0038552,60.17,14.07,213
1756961195.0039344,60.26,14.09,213
1756961196.0040128,60.21,14.05,213
1756961197.0040915,60.22,14.04,213
1756961198.0041695,60.22,14.04,213
1756961199.0042477,60.18,14.03,213
1756961200.0043263,60.17,14.02,213
1756961201.0044045,60.21,14.05,213
1756961202.004465,60.11,14.04,213
1756961203.0045247,60.08,14.03,213
1756961204.0046031,60.08,14.03,213
1756961205.004681,60.06,14.04,213
1756961206.0047593,60.16,14.05,213
1756961207.004843,60.08,14.04,213
1756961208.0049212,60.09,14.07,213
1756961209.004999,60.1,14.05,213
1756961210.0050764,60.11,14.07,213
1756961211.005154,60.16,14.07,213
1756961212.0052326,60.1,14.06,213
1756961213.0053105,60.14,14.06,213
1756961214.0053892,60.13,14.07,213
1756961215.0054638,60.12,14.05,213
1756961216.0055244,60.11,14.05,213
1756961217.005604,60.13,14.06,213
1756961218.0056818,60.2,14.06,213
1756961219.0057595,60.1,14.07,213
1756961220.0058377,60.12,14.06,214
1756961221.0059183,60.17,14.09,214
1756961222.005997,60.25,14.07,213
1756961223.0060828,60.18,14.06,213
1756961224.0061603,60.18,14.07,213
1756961225.0062404,60.2,14.05,213
1756961226.0063188,60.22,14.07,213
1756961227.0063975,60.26,14.1,213
1756961228.0064638,60.22,14.09,214
1756961229.0065265,60.22,14.14,213
1756961230.0066047,60.23,14.12,213
1756961231.006683,60.22,14.13,214
1756961232.006761,60.27,14.08,213
1756961233.0068398,60.23,14.08,214
1756961234.006919,60.25,14.07,214
1756961235.0069973,60.26,14.08,214
1756961236.0070295,60.25,14.05,214
1756961237.0071063,60.26,14.06,213
1756961238.0071838,60.22,14.05,213
1756961239.0072618,60.25,14.05,214
1756961240.007341,60.23,14.08,214
1756961241.0074248,60.25,14.09,214
1756961242.0074642,60.25,14.09,213
1756961243.0075288,60.29,14.09,213
1756961244.0076072,60.27,14.06,214
1756961245.0076852,60.29,14.09,214
1756961246.0077631,60.29,14.11,214
1756961247.0078552,55.87,13.23,214
