timestamp,pkg_value,ram_value,bmc_value
1756359373.0002918,41.29,15.26,200
1756359374.0006695,39.33,14.95,154
1756359375.000977,39.59,15.24,133
1756359376.001305,39.6,15.11,132
1756359377.0016,39.6,14.76,133
1756359378.001899,39.85,15.06,133
1756359379.0022433,39.4,14.89,132
1756359380.0025659,39.44,14.75,132
1756359381.0028908,39.2,14.64,133
1756359382.0032086,38.92,14.34,132
1756359383.003532,39.0,14.64,132
1756359384.003862,38.57,14.39,132
1756359385.004176,39.35,14.94,132
1756359386.0045078,39.25,14.95,132
1756359387.0047214,83.77,25.73,138
1756359388.0049343,113.67,29.63,203
1756359389.0051703,113.56,29.66,218
1756359390.00533,113.66,29.65,218
1756359391.0055513,113.61,29.6,218
1756359392.005774,113.72,29.67,218
1756359393.0059962,113.48,29.58,218
1756359394.0062172,113.54,29.53,218
1756359395.0064363,113.73,29.58,218
1756359396.0066595,113.65,29.57,218
1756359397.0068662,113.54,29.59,218
1756359398.0070808,113.76,29.6,219
1756359399.0073118,113.62,29.53,218
1756359400.0075278,113.64,29.62,218
1756359401.007751,113.75,29.65,219
1756359402.0079737,113.74,29.66,218
1756359403.0081975,113.82,29.66,218
1756359404.0083513,113.68,29.67,219
1756359405.0085645,113.87,29.74,218
1756359406.0087817,113.77,29.66,219
1756359407.0090153,113.83,29.64,218
1756359408.009234,114.04,29.68,218
1756359409.0094495,114.12,29.68,218
1756359410.009667,113.99,29.65,218
1756359411.0098877,114.12,29.62,218
1756359412.0101058,114.07,29.51,219
1756359413.0102804,114.1,29.56,219
1756359414.0104973,114.13,29.62,219
1756359415.0107152,114.36,29.64,219
1756359416.010928,114.17,29.65,219
1756359417.0111575,114.19,29.62,219
1756359418.0113745,114.29,29.61,219
1756359419.0115933,114.18,29.6,219
1756359420.0118163,114.37,29.62,219
1756359421.0120387,114.24,29.61,219
1756359422.01226,114.47,29.66,219
1756359423.012483,114.43,29.62,219
1756359424.0126982,114.51,29.66,219
1756359425.0129228,114.45,29.66,219
1756359426.0131488,114.43,29.64,219
1756359427.0133655,114.58,29.62,219
1756359428.0135849,114.56,29.65,218
1756359429.013808,114.39,29.6,219
1756359430.0140328,114.59,29.63,218
1756359431.0142536,114.43,29.62,219
1756359432.014475,114.48,29.68,219
1756359433.0146983,114.58,29.66,219
1756359434.0149193,114.46,29.64,219
1756359435.015154,114.56,29.62,219
1756359436.0153773,114.48,29.61,219
1756359437.0156002,114.48,29.62,219
1756359438.0158255,114.6,29.65,219
1756359439.0160477,114.54,29.67,219
1756359440.0162518,114.66,29.61,219
1756359441.0164783,114.65,29.69,219
1756359442.0167048,114.67,29.61,219
1756359443.016929,114.63,29.58,219
1756359444.0171647,114.69,29.64,219
1756359445.0173883,114.67,29.68,219
1756359446.0176122,114.54,29.69,219
1756359447.017938,97.59,26.16,219
1756359448.018247,40.9,15.36,190
1756359449.0185895,40.35,14.89,133
1756359450.0188346,40.05,14.93,133
1756359451.019173,39.91,14.93,133
1756359452.019513,38.98,14.3,133
1756359453.0198424,39.28,14.37,132
1756359454.0201738,40.46,15.44,131
1756359455.020521,38.57,14.06,133
1756359456.0207715,39.46,14.77,132
