19.19
timestamp,pkg_value,ram_value,bmc_value
1756791657.0023222,64.09,14.1,210
1756791658.0024052,68.29,14.11,220
1756791659.0024838,68.3,14.08,219
1756791660.0025604,68.34,14.08,220
1756791661.002638,68.33,14.08,220
1756791662.0027184,68.41,14.08,220
1756791663.0028343,68.38,14.08,220
1756791664.0029268,68.39,14.07,220
1756791665.0030198,68.41,14.09,220
1756791666.0031116,68.44,14.06,220
1756791667.0032043,68.46,14.09,221
1756791668.0032966,68.53,14.07,219
1756791669.0033932,68.43,14.02,220
1756791670.003484,68.41,14.04,219
1756791671.0035746,68.46,14.05,220
1756791672.0036657,68.59,14.06,220
1756791673.0037568,68.49,14.07,220
1756791674.0038466,68.48,14.09,220
1756791675.0039368,68.46,14.07,220
1756791676.0040286,68.53,14.07,220
1756791677.0041285,68.53,14.1,220
1756791678.0042188,68.64,14.12,220
1756791679.0043101,68.56,14.12,219
1756791680.004403,68.51,14.12,220
1756791681.0044928,68.53,14.12,221
1756791682.0045826,68.56,14.12,221
1756791683.0046835,68.77,14.2,221
1756791684.0047886,68.65,14.12,220
1756791685.0048876,68.61,14.09,221
1756791686.0049827,68.57,14.11,220
1756791687.0050774,68.6,14.13,220
1756791688.0051706,68.62,14.11,221
1756791689.0052664,68.82,14.11,221
1756791690.0053272,68.54,14.09,220
1756791691.0054238,68.59,14.09,221
1756791692.0055218,68.52,14.11,221
1756791693.005617,68.66,14.09,221
1756791694.005711,69.66,14.93,220
1756791695.0058208,69.84,14.93,223
1756791696.0059316,71.34,14.19,223
1756791697.0060205,71.6,14.1,224
1756791698.006103,71.54,14.11,224
1756791699.0061872,71.08,14.1,224
1756791700.006273,68.91,14.15,224
1756791701.0063238,68.75,14.13,221
1756791702.0064096,68.63,14.08,221
1756791703.0064921,68.64,14.09,220
1756791704.006572,68.67,14.12,220
1756791705.0066512,68.6,14.1,221
1756791706.0067303,68.63,14.1,221
1756791707.0068107,68.61,14.11,220
1756791708.0068896,68.65,14.12,221
1756791709.0069687,68.66,14.11,220
1756791710.0070477,68.68,14.12,220
1756791711.0071309,68.64,14.1,221
1756791712.0072098,68.67,14.13,221
1756791713.00729,68.67,14.12,221
1756791714.0073206,68.72,14.11,221
1756791715.0074005,68.7,14.07,220
1756791716.0074782,68.77,14.11,221
1756791717.0076787,61.27,13.09,221
