18.99
timestamp,pkg_value,ram_value,bmc_value
1756796108.0033958,40.51,12.58,141
1756796109.0035417,58.88,14.05,205
1756796110.0036767,58.97,14.05,213
1756796111.0038126,58.8,14.02,213
1756796112.003948,58.79,14.05,213
1756796113.004084,58.8,14.04,212
1756796114.0042207,58.79,14.03,213
1756796115.0043564,58.82,14.04,213
1756796116.0045075,58.73,14.01,213
1756796117.0046048,58.65,14.06,213
1756796118.0047376,58.8,14.05,213
1756796119.0048735,58.85,14.04,212
1756796120.005011,58.64,14.02,213
1756796121.005147,58.66,14.03,213
1756796122.0052829,58.71,14.02,213
1756796123.005416,58.7,14.06,213
1756796124.005552,58.72,14.03,213
1756796125.005685,58.74,14.03,213
1756796126.0058084,58.8,14.05,213
1756796127.005946,58.76,14.02,213
1756796128.0061026,58.73,14.01,213
1756796129.0062382,58.78,14.0,213
1756796130.0063741,58.82,14.03,213
1756796131.0064964,58.84,14.03,213
1756796132.0066319,58.94,14.07,213
1756796133.006767,59.03,14.03,213
1756796134.0069034,59.28,14.04,214
1756796135.0070438,58.89,14.01,214
1756796136.00718,58.84,14.04,213
1756796137.0073133,58.77,14.03,213
1756796138.0074165,59.06,14.05,213
1756796139.0075529,59.09,14.03,213
1756796140.0076895,58.97,14.06,214
1756796141.0078242,59.15,14.06,213
1756796142.007958,59.07,14.07,214
1756796143.008093,58.98,14.06,214
1756796144.0082295,58.96,14.05,214
1756796145.0083704,59.07,14.02,213
1756796146.0085166,59.27,14.03,214
1756796147.0086524,59.22,14.0,214
1756796148.008788,59.22,14.01,214
1756796149.008897,58.91,13.99,214
1756796150.0090857,58.99,14.03,213
1756796151.009285,58.97,14.0,213
1756796152.0094268,59.1,14.0,213
1756796153.009635,59.03,13.99,213
1756796154.0098422,59.11,14.0,214
1756796155.0100524,59.07,13.97,214
1756796156.010264,58.98,13.98,214
1756796157.010436,58.98,14.01,214
1756796158.0106478,59.4,14.0,213
1756796159.0108564,59.17,14.0,214
1756796160.011063,59.01,14.0,214
1756796161.0112727,59.36,14.04,214
1756796162.0114934,59.27,14.02,214
1756796163.0117002,59.02,14.04,214
1756796164.011905,58.84,14.02,214
1756796165.0121117,58.95,14.05,214
1756796166.0123224,59.33,14.05,214
1756796167.0125308,58.94,14.06,214
1756796168.0127578,48.91,12.25,214
