timestamp,pkg_value,ram_value,bmc_value
1756961309.0035253,35.21,11.65,131
1756961310.0036051,60.19,14.1,135
1756961311.003683,60.14,14.09,198
1756961312.0037625,60.17,14.1,212
1756961313.0038407,60.18,14.05,213
1756961314.0039172,60.23,14.05,213
1756961315.003994,60.15,14.04,213
1756961316.004072,60.11,14.05,213
1756961317.0041292,60.13,14.04,213
1756961318.0042074,60.09,14.08,213
1756961319.0042853,60.06,14.08,213
1756961320.0043645,60.16,14.09,212
1756961321.0044427,60.07,14.08,213
1756961322.0045202,60.11,14.08,213
1756961323.0045993,60.1,14.08,212
1756961324.0046778,60.1,14.06,213
1756961325.0047557,60.11,14.05,213
1756961326.0048332,60.16,14.09,212
1756961327.0049114,60.09,14.05,213
1756961328.0049899,60.12,14.04,213
1756961329.005072,60.13,14.05,213
1756961330.005131,60.15,14.08,213
1756961331.0052083,60.21,14.06,213
1756961332.0052857,60.16,14.06,213
1756961333.0053627,60.16,14.04,212
1756961334.0054405,60.18,14.05,213
1756961335.005519,60.14,14.07,213
1756961336.0055964,60.26,14.06,213
1756961337.005674,60.17,14.06,213
1756961338.0057518,60.2,14.05,213
1756961339.0058298,60.18,14.07,213
1756961340.0059083,60.18,14.12,213
1756961341.0059855,60.28,14.12,213
1756961342.006063,60.19,14.1,213
1756961343.0061288,60.16,14.12,213
1756961344.0061889,60.21,14.12,213
1756961345.0062685,60.21,14.13,213
1756961346.0063457,60.21,14.11,213
1756961347.006423,60.25,14.13,213
1756961348.0065005,60.2,14.11,213
1756961349.0065784,60.19,14.09,213
1756961350.006657,60.18,14.09,213
1756961351.006736,60.15,14.11,213
1756961352.006813,60.16,14.1,213
1756961353.0068915,60.23,14.12,213
1756961354.0069697,60.14,14.09,214
1756961355.007047,60.16,14.1,213
1756961356.0071275,60.19,14.12,214
1756961357.0071893,60.25,14.14,213
1756961358.0072682,60.17,14.11,214
1756961359.0073469,60.19,14.09,214
1756961360.0074244,60.23,14.06,213
1756961361.0075014,60.24,14.09,214
1756961362.0075793,60.23,14.08,214
1756961363.0076609,60.25,14.14,213
1756961364.0077388,60.24,14.08,214
1756961365.0078166,60.26,14.08,213
1756961366.0078936,60.24,14.06,214
1756961367.007972,60.22,14.08,214
1756961368.0080492,60.25,14.1,213
1756961369.0081477,54.16,13.0,214
1756961370.0082908,19.66,6.88,214
