timestamp,pkg_value,ram_value,bmc_value
1756960882.003047,58.71,14.02,132
1756960883.003138,63.67,14.04,143
1756960884.0032275,63.65,14.04,213
1756960885.0033176,63.71,14.08,218
1756960886.003409,63.73,14.05,218
1756960887.00349,63.73,14.06,218
1756960888.0035815,63.74,14.06,217
1756960889.0036705,63.75,14.07,218
1756960890.0037591,63.81,14.07,217
1756960891.003841,63.81,14.07,218
1756960892.0039222,63.72,14.04,218
1756960893.0040147,63.76,14.06,218
1756960894.004105,63.83,14.07,218
1756960895.0041938,63.86,14.06,218
1756960896.004284,63.82,14.05,218
1756960897.0043724,63.8,14.02,218
1756960898.0044615,63.79,14.02,218
1756960899.004554,63.7,14.02,218
1756960900.004645,63.73,14.04,218
1756960901.0047352,63.68,14.01,218
1756960902.004831,63.63,14.03,218
1756960903.0049222,63.7,14.04,218
1756960904.0050147,63.83,14.01,218
1756960905.005104,63.75,14.04,218
1756960906.0051951,63.75,14.02,218
1756960907.005286,63.78,14.02,218
1756960908.0053766,63.7,14.01,218
1756960909.0054681,63.78,14.0,218
1756960910.0055647,63.81,14.05,218
1756960911.0056574,63.73,14.0,217
1756960912.005748,63.8,14.03,218
1756960913.0058386,63.78,14.06,218
1756960914.0059288,63.74,14.05,218
1756960915.0060194,63.8,14.05,218
1756960916.0061097,63.76,14.05,218
1756960917.0062003,63.82,14.07,218
1756960918.0062907,63.77,14.04,218
1756960919.0063813,63.79,14.03,218
1756960920.0064704,63.82,14.03,218
1756960921.0065548,63.99,14.02,218
1756960922.0066354,63.81,14.04,218
1756960923.0067153,63.78,14.06,218
1756960924.0067952,63.84,14.03,218
1756960925.0068743,63.86,14.02,218
1756960926.0069537,63.87,14.05,218
1756960927.0070322,64.0,14.07,218
1756960928.0071115,63.91,14.02,218
1756960929.0071902,63.88,14.05,218
1756960930.007269,63.92,14.06,218
1756960931.007349,64.01,14.08,218
1756960932.007431,63.93,14.09,218
1756960933.0074892,63.93,14.06,218
1756960934.0075839,63.96,14.08,218
1756960935.0076761,64.04,14.09,218
1756960936.0077732,64.03,14.04,218
1756960937.0078647,64.08,14.07,218
1756960938.0079532,64.0,14.05,218
1756960939.0080452,64.03,14.06,218
1756960940.008138,63.94,14.06,218
1756960941.008237,64.01,14.07,219
1756960942.0084236,37.81,9.87,219
1756960943.008637,19.82,6.96,218
