     1.000186109,21.28,Joules,energy-pkg,1000186032,100.00,,
     1.000186109,7.25,Joules,energy-ram,1000189903,100.00,,
     2.000485161,19.91,Joules,energy-pkg,1000249033,100.00,,
     2.000485161,7.20,Joules,energy-ram,1000250535,100.00,,
     3.000730165,19.56,Joules,energy-pkg,1000251648,100.00,,
     3.000730165,7.08,Joules,energy-ram,1000252664,100.00,,
     4.000973780,19.01,Joules,energy-pkg,1000252599,100.00,,
     4.000973780,6.76,Joules,energy-ram,1000253334,100.00,,
     5.001220117,18.85,Joules,energy-pkg,1000253729,100.00,,
     5.001220117,6.73,Joules,energy-ram,1000254350,100.00,,
     6.001472670,19.62,Joules,energy-pkg,1000255499,100.00,,
     6.001472670,6.97,Joules,energy-ram,1000256021,100.00,,
     7.001728620,19.34,Joules,energy-pkg,1000257289,100.00,,
     7.001728620,7.01,Joules,energy-ram,1000257732,100.00,,
     8.001975248,19.03,Joules,energy-pkg,1000257465,100.00,,
     8.001975248,6.84,Joules,energy-ram,1000257833,100.00,,
     9.002213024,19.47,Joules,energy-pkg,1000256583,100.00,,
     9.002213024,7.00,Joules,energy-ram,1000256918,100.00,,
    10.002451590,19.20,Joules,energy-pkg,1000255990,100.00,,
    10.002451590,6.75,Joules,energy-ram,1000256281,100.00,,
    11.002669300,19.00,Joules,energy-pkg,1000253638,100.00,,
    11.002669300,6.70,Joules,energy-ram,1000253857,100.00,,
    12.002905752,19.26,Joules,energy-pkg,1000253116,100.00,,
    12.002905752,6.75,Joules,energy-ram,1000253374,100.00,,
    13.003157032,19.28,Joules,energy-pkg,1000253996,100.00,,
    13.003157032,6.91,Joules,energy-ram,1000254176,100.00,,
    14.003391901,19.09,Joules,energy-pkg,1000253400,100.00,,
    14.003391901,6.83,Joules,energy-ram,1000253608,100.00,,
    15.003525142,35.21,Joules,energy-pkg,1000246510,100.00,,
    15.003525142,11.65,Joules,energy-ram,1000246485,100.00,,
    16.003605086,60.19,Joules,energy-pkg,1000236856,100.00,,
    16.003605086,14.10,Joules,energy-ram,1000236823,100.00,,
    17.003683017,60.14,Joules,energy-pkg,1000228236,100.00,,
    17.003683017,14.09,Joules,energy-ram,1000228178,100.00,,
    18.003762437,60.17,Joules,energy-pkg,1000220623,100.00,,
    18.003762437,14.10,Joules,energy-ram,1000220573,100.00,,
    19.003840600,60.18,Joules,energy-pkg,1000213742,100.00,,
    19.003840600,14.05,Joules,energy-ram,1000213704,100.00,,
    20.003917305,60.23,Joules,energy-pkg,1000207505,100.00,,
    20.003917305,14.05,Joules,energy-ram,1000207451,100.00,,
    21.003993869,60.15,Joules,energy-pkg,1000201838,100.00,,
    21.003993869,14.04,Joules,energy-ram,1000201785,100.00,,
    22.004071849,60.11,Joules,energy-pkg,1000196741,100.00,,
    22.004071849,14.05,Joules,energy-ram,1000196701,100.00,,
    23.004129120,60.13,Joules,energy-pkg,1000191199,100.00,,
    23.004129120,14.04,Joules,energy-ram,1000191156,100.00,,
    24.004207298,60.09,Joules,energy-pkg,1000186984,100.00,,
    24.004207298,14.08,Joules,energy-ram,1000186942,100.00,,
    25.004285303,60.06,Joules,energy-pkg,1000183108,100.00,,
    25.004285303,14.08,Joules,energy-ram,1000183061,100.00,,
    26.004364603,60.16,Joules,energy-pkg,1000179566,100.00,,
    26.004364603,14.09,Joules,energy-ram,1000179530,100.00,,
    27.004442779,60.07,Joules,energy-pkg,1000176255,100.00,,
    27.004442779,14.08,Joules,energy-ram,1000176215,100.00,,
    28.004520225,60.11,Joules,energy-pkg,1000173152,100.00,,
    28.004520225,14.08,Joules,energy-ram,1000173115,100.00,,
    29.004599216,60.10,Joules,energy-pkg,1000170316,100.00,,
    29.004599216,14.08,Joules,energy-ram,1000170280,100.00,,
    30.004677827,60.10,Joules,energy-pkg,1000167657,100.00,,
    30.004677827,14.06,Joules,energy-ram,1000167619,100.00,,
    31.004755662,60.11,Joules,energy-pkg,1000165146,100.00,,
    31.004755662,14.05,Joules,energy-ram,1000165109,100.00,,
    32.004833200,60.16,Joules,energy-pkg,1000162773,100.00,,
    32.004833200,14.09,Joules,energy-ram,1000162744,100.00,,
