timestamp,pkg_value,ram_value,bmc_value
1756959888.0002098,21.0,7.15,195
1756959889.0004883,20.01,6.87,160
1756959890.000696,20.0,7.04,135
1756959891.0009673,20.3,7.3,133
1756959892.0012007,20.31,7.22,131
1756959893.0014658,20.2,7.09,133
1756959894.0016706,20.02,7.08,133
1756959895.0019038,20.01,7.09,130
1756959896.002143,20.01,7.29,133
1756959897.002369,20.36,7.31,133
1756959898.0026102,19.91,7.06,132
1756959899.0028453,20.39,7.48,131
1756959900.0030615,19.62,6.9,131
1756959901.003197,24.91,8.08,135
1756959902.0032995,81.5,14.11,131
1756959903.0033839,85.91,14.12,150
1756959904.0034435,85.83,14.09,241
1756959905.0035286,85.88,14.09,242
1756959906.003618,85.92,14.12,242
1756959907.0037007,85.98,14.12,242
1756959908.003782,86.07,14.1,242
1756959909.0038626,86.09,14.11,243
1756959910.003943,86.06,14.1,243
1756959911.0040255,86.12,14.08,243
1756959912.004106,85.94,14.1,243
1756959913.0041878,85.95,14.08,242
1756959914.004272,86.06,14.05,243
1756959915.0043545,86.02,14.08,243
1756959916.0044398,86.15,14.07,243
1756959917.0045216,86.07,14.02,243
1756959918.0046036,86.0,14.06,243
1756959919.0046856,85.94,14.06,243
1756959920.0047662,86.01,14.05,243
1756959921.0048509,85.92,14.06,243
1756959922.0049467,86.06,14.08,243
1756959923.005039,85.95,14.06,243
1756959924.0051324,85.99,14.07,243
1756959925.005221,86.0,14.07,243
1756959926.005303,86.01,14.07,243
1756959927.0053856,85.98,14.04,243
1756959928.005444,86.09,14.12,243
1756959929.005537,85.64,14.11,243
1756959930.005629,85.84,14.08,243
1756959931.0057116,85.87,14.1,242
1756959932.0057921,85.86,14.13,242
1756959933.0058775,85.89,14.13,243
1756959934.0059664,85.99,14.14,243
1756959935.0060513,85.93,14.11,243
1756959936.006136,86.09,14.1,243
1756959937.006226,85.96,14.14,243
1756959938.006313,85.99,14.09,243
1756959939.0064003,85.99,14.09,243
1756959940.006446,85.96,14.08,243
1756959941.0065374,85.94,14.07,243
1756959942.0066276,85.97,14.09,242
1756959943.0067139,86.14,14.09,243
1756959944.0067968,86.08,14.07,243
1756959945.0068796,86.04,14.09,243
1756959946.0069652,86.04,14.08,243
1756959947.0070543,86.07,14.05,243
1756959948.0071373,86.07,14.1,243
1756959949.0072188,86.13,14.12,243
1756959950.0073028,86.11,14.11,243
1756959951.0073934,86.07,14.11,243
1756959952.0074394,86.11,14.09,243
1756959953.007525,86.11,14.09,243
1756959954.0076146,86.1,14.11,244
1756959955.007703,86.11,14.08,243
1756959956.0077991,86.2,14.09,243
1756959957.0078835,86.12,14.1,243
1756959958.0079663,86.13,14.11,243
1756959959.0080569,86.14,14.13,243
1756959960.0081453,86.16,14.12,243
1756959961.0082326,86.25,14.15,243
1756959962.0084455,49.37,10.79,243
1756959963.0086958,21.88,7.85,228
1756959964.008944,21.92,7.98,137
1756959965.0090916,21.27,7.36,137
1756959966.009241,20.46,7.27,136
1756959967.00947,21.17,7.66,136
1756959968.009705,19.76,6.9,135
1756959969.0099416,21.06,7.49,131
1756959970.0101874,20.8,7.49,133
1756959971.0104063,20.29,7.13,134
